Ідентифікатор гаманця,Ім'я гаманця,Баланс,Всього дохід,Загальні витрати:,Дата початку,Дата завершення
5d4c3b2a-1e0f-4d9c-8b7a-6f5e4d3c2b1a,Інвестиції,25250,9750,15325,01.01.2025 00:00:00,23.06.2025 19:02:01
Ід,Кількість,Дата,Введіть id,Ім'я,Опис,Тип запису
8c7b6a5f-4d3e-2c1b-0a9d-8c7b6a5f4d3e,1000,15.05.2025 09:30:00,6b5a4d3c-2b1a-4f0e-9d8c-7b6a5f4e3d2c,Дивіденди,Дохід від інвестиційних активів,Income
5e4f3d2c-1b0a-9d8c-7b6a-5f4d3e2c1b0a,5000,03.06.2025 12:00:00,7d6e5f4a-3b2c-4d1e-0f9a-8b7c6d5e4f3a,Покупка акцій,Придбання акцій або інших цінних паперів,Expense
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5e,3000,09.06.2025 15:30:00,13579bdf-8642-4ace-9f01-23456789abcd,Поповнення інвест. рахунку,Додаткові кошти для інвестицій,Income
f9e8d7c6-b5a4-4321-fedc-ba9876543210,50,11.06.2025 09:00:00,fedcba98-7654-4321-abcd-ef0123456789,Комісія брокера,Витрати на послуги брокера,Expense
5c6d7e8f-9a0b-4c1d-2e3f-4a5b6c7d8e9f,200,11.06.2025 10:15:00,fedcba98-7654-4321-abcd-ef0123456789,Комісія брокера,Витрати на послуги брокера,Expense
3b1c9a24-4e94-4ad5-bbaf-08f4dd9b1f72,5000,12.06.2025 10:00:00,13579bdf-8642-4ace-9f01-23456789abcd,Поповнення інвест. рахунку,Додаткові кошти для інвестицій,Income
9f0a2f36-7d7a-4ad0-9d9b-d0c445fbf6c4,10000,12.06.2025 14:00:00,7d6e5f4a-3b2c-4d1e-0f9a-8b7c6d5e4f3a,Покупка акцій,Придбання акцій або інших цінних паперів,Expense
64de740c-b30c-470f-84d7-e90b2e90c7a6,750,13.06.2025 09:45:00,6b5a4d3c-2b1a-4f0e-9d8c-7b6a5f4e3d2c,Дивіденди,Дохід від інвестиційних активів,Income
b90504f4-1ff4-412b-91a6-bd57ff743598,75,13.06.2025 10:00:00,fedcba98-7654-4321-abcd-ef0123456789,Комісія брокера,Витрати на послуги брокера,Expense
